"","ID","Nom","Url","Prénom","Âge","Taille","Poids","Nationalité","Poste",""
"","10","ZIRAKASHVILI","/joueurs/davit-zirakashvili-10.html","Davit","36","179","120","Géorgie","Pilier","[X]"
"","13","JACQUET","/joueurs/loic-jacquet-13.html","Loïc","35","198","117","France","2ème ligne","[X]"
"","26","JAMES","/joueurs/brock-james-26.html","Brock","38","179","89","Australie","Ouverture","[X]"
"","30","COMBEZOU","/joueurs/thomas-combezou-30.html","Thomas","33","184","94","France","Centre","[X]"
"","76","DOMENECH","/joueurs/amedee-domenech-76.html","Amédée","35","182","98","France","3ème ligne","[X]"
"","91","BÉCO","/joueurs/aurelien-beco-91.html","Aurélien","34","192","98","France","3ème ligne","[X]"
"","93","CHOULY","/joueurs/damien-chouly-93.html","Damien","34","192","106","France","3ème ligne","[X]"
"","116","PALISSON","/joueurs/alexis-palisson-116.html","Alexis","32","177","85","France","Ailier","[X]"
"","148","MIGNARDI","/joueurs/arnaud-mignardi-148.html","Arnaud","33","180","90","France","Centre","[X]"
"","204","IGUINIZ","/joueurs/aretz-iguiniz-204.html","Aretz","36","188","114","France","Pilier","[X]"
"","247","CAPO ORTEGA","/joueurs/rodrigo-capo-ortega-247.html","Rodrigo","39","195","110","Uruguay","2ème ligne","[X]"
"","256","PURICELLI","/joueurs/julien-puricelli-256.html","Julien","38","196","103","France","3ème ligne","[X]"
"","261","WISNIEWSKI","/joueurs/jonathan-wisniewski-261.html","Jonathan","34","180","85","France","Ouverture","[X]"
"","295","AUDY","/joueurs/julien-audy-295.html","Julien","35","172","78","France","Mêlée","[X]"
"","323","PICAMOLES","/joueurs/louis-picamoles-323.html","Louis","34","192","118","France","3ème ligne","[X]"
"","328","GORGODZE","/joueurs/mamuka-gorgodze-328.html","Mamuka","35","196","120","Géorgie","2ème ligne","[X]"
"","330","OUEDRAOGO","/joueurs/fulgence-ouedraogo-330.html","Fulgence","33","191","99","France","3ème ligne","[X]"
"","339","TRINH-DUC","/joueurs/francois-trinh-duc-339.html","François","33","186","90","France","Ouverture","[X]"
"","396","GUIRADO","/joueurs/guilhem-guirado-396.html","Guilhem","33","183","105","France","Talonneur","[X]"
"","432","PORICAL","/joueurs/jerome-porical-432.html","Jérôme","34","183","88","France","Arrière","[X]"
